PLUIDM|PLUIGR|TAG|RENCENG|MINOR|KDIDM
10004823|1942510|T|1|1|G089
20036808|1153420|V|1|8|G089
20129563|1602710||1|1|G089
20065736|1301440|N|1|3|G089
20065863||N|0|1|G089
20065400||N|0|1|G089
20069272||N|0|1|G089
20070927|1676250|N|1|2|G089
20070985|1477910|R|1|1|G089
20070060||N|0|1|G089
20071129||N|0|1|G089
20071778|1336180|N|1|2|G089
20011006|1080890|R|1|2|G089
20038144||R|0|1|G089
20049860||N|0|1|G089
20036941||R|0|0|G089
20042304||R|0|1|G089
10036941|1294180|N|1|24|G089
10005981|0281800|N|1|2|G089
20047925|1196180|N|1|1|G089
20030565|1345310|N|1|1|G089
20037323|1220380|N|1|1|G089
20060064||N|0|1|G089
20057891||N|0|1|G089
20028847||R|0|1|G089
20036900|1203900|F|1|1|G089
20018782||R|0|1|G089
20052156||N|0|1|G089
20113926|1710560|I|1|1|G089
20066187|1352360|R|1|1|G089
20066296|1686230|N|1|1|G089
20009733|1288850|N|1|4|G089
20060399||N|0|12|G089
20056076||N|0|1|G089
20044268|1239800|N|1|1|G089
20026735||N|0|1|G089
20044867||R|0|2|G089
20040195|1203100|R|1|1|G089
20025219|1352990|N|1|40|G089
20057703||R|0|4|G089
20059970||N|0|1|G089
20055189|1315710|R|1|1|G089
20049731|1377310|N|1|1|G089
20056773||N|0|1|G089
20045786||R|0|1|G089
20057817||N|0|1|G089
20048928||N|0|1|G089
20022628|1288980|N|1|2|G089
20063028||N|0|1|G089
20000207|0895670|N|1|1|G089
20031773|1276260|N|1|40|G089
20035527|1145020|N|1|2|G089
20060731||N|0|1|G089
20120499|1601400||1|2|G089
20025648|1164360||1|1|G089
20073869|1550430||1|1|G089
20126992|1612660|V|1|2|G089
20090066|1667800||1|1|G089
20001407|1382700||1|2|G089
20092331|1314110|E|1|12|G089
20027997|1195200||1|2|G089
20106983|1426370||1|2|G089
20080361|1281910||1|1|G089
20101464|1457950||1|1|G089
20096594|1469550||1|1|G089
20055787||N|0|1|G089
20056461|1373340|N|1|1|G089
20043354|1520430|N|1|1|G089
20046755|1476510|N|1|4|G089
20048808|1274910|N|1|1|G089
10000723|0031750|N|1|2|G089
